peso_g,palavra_digital
400,9062
400,9064
400,9017
400,9054
400,9139
400,9112
400,9085
400,9041
400,9056
400,9098
400,9063
400,9078
400,9083
400,9084
400,9062
400,9080
400,9090
400,9086
400,9077
400,9067
400,9055
400,9081
400,9107
400,9093
400,9043
400,9069
400,9047
400,9066
400,9076
400,9050
400,9086
400,9072
400,9040
400,9096
400,9079
400,9028
400,8986
400,9027
400,9059
400,9030
400,9080
400,9101
400,9061
400,9010
400,8983
400,9001
400,9081
400,9081
400,9000
400,9072
400,9116
400,9091
400,9108
400,9075
400,9050
400,9107
400,9115
400,9077
400,9064
400,9097
400,9061
400,9037
400,9076
400,9083
400,9038
400,9004
400,9034
400,9028
400,9060
400,9083
400,9082
400,9079
400,9070
400,9016
400,9058
400,9097
400,9017
400,9003
400,9039
400,9033
400,9030
400,9074
400,9051
400,8999
400,8997
400,9057
400,9013
400,8971
400,9021
400,8997
400,9007
400,9064
400,9075
400,9057
400,9058
400,9075
400,9058
400,9056
400,9043
400,9051
400,9051
400,9014
400,9082
400,9072
400,9023
400,9024
400,9073
400,9053
400,9019
400,9034
400,9061
400,9017
400,9035
400,9071
400,9102
400,9093
400,9040
400,9059
400,9078
400,9041
400,9056
400,8985
400,9035
400,9035
400,9048
400,9058
400,9118
400,9102
400,9029
400,9003
400,9032
400,9023
400,9033
400,9009
400,8968
400,8968
400,8980
400,9050
400,9079
400,9074
400,9028
400,9038
400,9064
400,9058
400,9064
400,9063
400,9070
400,9027
400,9051
400,9029
400,9048
400,9056
400,8999
400,8987
400,8993
400,9045
400,9049
400,9056
400,9097
400,9084
400,9080
400,9066
400,9056
400,9030
400,9073
400,9078
400,9036
400,9025
400,9043
400,9085
400,9082
400,9034
400,9018
400,9051
400,9081
400,9067
400,9031
400,9015
400,9071
400,9087
400,9090
400,9039
400,9087
400,9101
400,9048
400,9037
400,9034
400,9054
400,9113
400,9077
400,9074
400,9062
400,9084
400,9071
400,9042
400,9033
400,9050
400,9079
400,9085
400,9128
400,9107
400,9107
400,9047
400,9014
400,9055
400,9090
400,9061
400,9024
400,9013
400,9060
400,9092
400,9074
400,9028
400,9016
400,9017
400,9034
400,9058
400,9057
400,9059
400,9054
400,9046
400,9113
400,9068
400,8988
400,8982
400,8995
400,9000
400,9043
400,9073
400,9056
400,9038
400,9003
400,9015
400,9061
400,9100
400,9109
400,9067
400,9077
400,9097
400,9061
400,9032
400,9013
400,9035
400,9053
400,9048
400,9070
400,9055
400,9095
400,9059
400,9006
400,9082
400,9105
400,9067
400,9068
400,9079
400,9070
400,9081
400,9067
400,9043
400,9059
400,9142
400,9073
400,9062
400,9063
400,9037
400,9055
400,9071
400,9114
400,9148
400,9121
400,9107
400,9065
400,9008
400,9059
400,9054
400,9089
400,9060
400,9048
400,9049
400,9049
400,9040
400,9075
400,9141
400,9112
400,9121
400,9133
400,9062
400,9078
400,9112
400,9103
400,9087
400,9031
400,9078
400,9058
400,9029
400,9053
400,9107
400,9043
400,9059
400,9036
500,9043
500,9037
500,9010
500,8977
500,8970
500,8944
500,8992
500,9045
500,9008
500,9017
500,9022
500,9012
500,8969
500,8992
500,8999
500,8998
500,9008
500,8948
500,9022
500,9022
500,9046
500,9028
500,8960
500,9037
500,9013
500,9013
500,9036
500,9040
500,9025
500,9010
500,9058
500,9012
500,8973
500,8961
500,8979
500,9012
500,8994
500,8997
500,8991
500,9006
500,9025
500,9011
500,8989
500,8967
500,8967
500,8967
500,9035
500,9083
500,9052
500,9011
500,8999
500,9017
500,9023
500,8993
500,8975
500,9009
500,9025
500,9023
500,9043
500,9011
500,9048
500,9039
500,9012
500,8988
500,9017
500,9052
500,9062
500,9056
500,9079
500,9038
500,8962
500,8948
500,8974
500,8997
500,8998
500,8991
500,9052
500,9066
500,9025
500,9033
500,9015
500,9021
500,9050
500,9006
500,8998
500,9072
500,9046
500,8962
500,8981
500,9057
500,9045
500,9016
500,8978
500,9041
500,9017
500,9011
500,8999
500,8999
500,9045
500,9084
500,8997
500,8984
500,9027
500,9029
500,9004
500,8995
500,9043
500,9010
500,8961
500,8970
500,8980
500,9013
500,9022
500,8998
500,8972
500,9020
500,9062
500,9038
500,8953
500,8986
500,8960
500,8949
500,9005
500,8975
500,8937
500,8987
500,9058
500,9047
500,9045
500,9055
500,9063
500,9004
500,8930
500,8979
500,9020
500,9016
500,9002
500,8995
500,8994
500,8962
500,8979
500,9021
500,9032
500,8987
500,8949
500,8974
500,9026
500,9023
500,8995
500,9008
500,9003
500,8968
500,8987
500,8993
500,8999
500,9060
500,9032
500,9010
500,8991
500,9000
500,9030
500,9031
500,9005
500,9070
500,9050
500,8990
500,8993
500,8994
500,8961
500,8966
500,9007
500,8980
500,9033
500,9062
500,9030
500,8985
500,8984
500,9008
500,8993
500,9007
500,9027
500,9006
500,9023
500,9049
500,9025
500,8977
500,8984
500,9042
500,9012
500,9007
500,8996
500,8999
500,9074
500,9028
500,8980
500,8987
500,9015
500,9002
500,8979
500,8996
500,9009
500,9012
500,8991
500,9002
500,9005
500,9023
500,9003
500,9004
500,9056
500,9038
500,8986
500,8980
500,9003
500,9018
500,9001
500,9006
500,9024
500,9040
500,8991
500,8994
500,8985
500,8989
500,9025
500,9008
500,9019
500,9045
500,9016
500,9036
500,9045
500,9022
500,9057
500,9012
500,9042
500,9035
500,8999
500,8979
500,8971
500,9015
500,9092
500,9073
500,9048
500,9044
500,9043
500,9034
500,9080
500,9031
500,9003
500,8955
500,8923
500,8994
500,9006
500,8996
500,8997
500,8995
500,9053
500,9078
500,9063
500,8968
500,9020
500,9036
500,9071
500,9079
500,9035
500,9000
500,9014
500,9000
500,8989
500,9006
500,9068
500,9075
500,9032
500,9043
500,9041
500,9059
500,9061
500,9076
500,9068
500,9031
500,9022
500,9071
500,9050
500,9044
500,9040
500,9052
500,9051
500,9032
500,9014
500,9010
500,9041
500,9004
500,8985
500,9004
500,9009
500,9003
500,9000
500,9045
500,9086
500,9040
500,9052
500,9099
600,8989
600,8971
600,8981
600,8967
600,8944
600,8907
600,8893
600,8918
600,8912
600,8924
600,8983
600,9000
600,8971
600,8992
600,9001
600,8982
600,8982
600,8996
600,8951
600,8998
600,8985
600,8957
600,8919
600,8960
600,9018
600,8964
600,8938
600,8933
600,8962
600,8898
600,8933
600,9004
600,8979
600,8957
600,8955
600,8943
600,8975
600,8986
600,9004
600,8990
600,8948
600,8974
600,8929
600,8922
600,8965
600,8938
600,8936
600,8927
600,8946
600,8955
600,8955
600,8957
600,8970
600,8975
600,8936
600,8948
600,8964
600,8976
600,8943
600,8942
600,8944
600,8924
600,8953
600,8977
600,8968
600,8935
600,8997
600,9011
600,9000
600,8984
600,8990
600,8998
600,8966
600,8980
600,8979
600,9010
600,8986
600,8979
600,9023
600,9029
600,8986
600,8974
600,8977
600,8960
600,9009
600,8990
600,9009
600,8977
600,8941
600,8951
600,8963
600,9011
600,9068
600,9070
600,9037
600,9029
600,9004
600,8996
600,8994
600,8976
600,8978
600,9000
600,9006
600,8964
600,8974
600,8998
600,9032
600,9001
600,9011
600,9006
600,9031
600,9015
600,9016
600,9033
600,9031
600,9044
600,9013
600,8997
600,8975
600,8994
600,8983
600,8995
600,9051
600,9022
