peso,valor
0,11065
0,11060
0,10947
0,10948
0,10993
0,10934
0,10970
0,10975
0,10946
0,11006
0,11008
0,10986
0,10969
0,11047
0,11063
0,11029
0,11006
0,10960
0,10985
0,10993
0,11019
0,11074
0,11050
0,11013
0,10957
0,10952
0,10942
0,10924
0,10928
0,10949
0,11004
0,10972
0,10943
0,10988
0,11013
0,11038
0,11031
0,11008
0,10988
0,11027
0,11008
0,10956
0,10971
0,10994
0,10988
0,11004
0,10980
0,11001
0,11039
0,11016
0,11067
0,11159
0,11107
0,11009
0,10985
0,11015
0,11023
0,10972
0,10957
0,10976
0,10985
0,11002
0,10983
0,10936
0,10914
0,10976
0,11004
0,10996
0,11003
0,10995
0,11022
0,10955
0,10929
0,10993
0,11015
0,10991
0,11001
0,11002
0,10947
0,10957
0,10944
0,10993
0,11025
0,11026
0,11004
0,10967
0,10989
0,10981
0,11001
0,11019
0,11005
0,11051
0,11090
0,11002
0,11023
0,11031
0,10997
0,10966
0,10964
0,10992
50,10977
50,11026
50,11007
50,10984
50,11000
50,11000
50,10987
50,10953
50,10979
50,10986
50,10995
50,10976
50,10977
50,11008
50,11038
50,11020
50,10985
50,10998
50,11007
50,10951
50,10997
50,11014
50,10999
50,10959
50,10923
50,10989
50,11007
50,10980
50,10999
50,10970
50,10997
50,11041
50,11013
50,11022
50,10970
50,11009
50,11031
50,10995
50,10959
50,10979
50,10994
50,10957
50,10984
50,11037
50,11009
50,11011
50,11036
50,10991
50,10932
50,11001
50,11027
50,11019
50,11002
50,11004
50,11012
50,11014
50,11030
50,11019
50,11033
50,11022
50,10928
50,11010
50,11042
50,11019
50,10977
50,10982
50,10960
50,10976
50,10973
50,10935
50,10951
50,10981
50,10978
50,10965
50,10974
50,10986
50,10983
50,11014
50,10993
50,10999
50,11020
50,10978
50,10955
50,10968
50,10965
50,10992
50,11016
50,11003
50,11010
50,11000
50,10949
50,10957
50,11007
50,10984
50,11038
50,10992
50,10953
50,10956
50,10979
50,11010
100,10991
100,11018
100,11013
100,10989
100,11039
100,11063
100,11041
100,11005
100,10974
100,10997
100,11013
100,11028
100,11017
100,11013
100,11000
100,10979
100,10999
100,10995
100,10983
100,10968
100,10969
100,11007
100,11045
100,11015
100,11001
100,10975
100,11006
100,10992
100,10999
100,11007
100,11016
100,11011
100,11008
100,11013
100,10992
100,10972
100,11000
100,10993
100,10988
100,11001
100,10998
100,11007
100,11003
100,11003
100,11024
100,10999
100,11012
100,10979
100,11009
100,11086
100,11021
100,11015
100,11021
100,11026
100,11024
100,11005
100,10980
100,10991
100,11029
100,11030
