peso_g,palavra_digital
0,275335
0,275372
0,275386
0,275391
0,275347
0,275312
0,275331
0,275282
0,275243
0,275256
0,275270
0,275208
0,275220
0,275263
0,275283
0,275254
0,275236
0,275282
0,275242
0,275292
0,275322
0,275302
0,275296
0,275279
0,275287
0,275298
0,275261
0,275280
0,275295
0,275331
0,275282
0,275241
0,275281
0,275298
0,275273
0,275258
0,275274
0,275271
0,275292
0,275327
0,275273
0,275310
0,275319
0,275265
0,275257
0,275264
0,275299
0,275286
0,275307
0,275274
0,275245
0,275250
0,275234
0,275239
0,275230
0,275215
0,275233
0,275235
0,275270
0,275263
0,275229
0,275208
0,275202
0,275231
0,275295
0,275366
0,275314
0,275276
0,275283
0,275271
0,275248
0,275246
0,275180
0,275254
0,275303
0,275254
0,275220
0,275252
0,275290
0,275259
0,275224
0,275229
0,275285
0,275292
0,275291
0,275215
0,275240
0,275295
0,275273
0,275298
0,275292
0,275266
0,275269
0,275208
0,275200
0,275220
0,275224
0,275169
0,275195
0,275226
50,297620
50,297285
50,297141
50,297060
50,297087
50,297256
50,297303
50,297236
50,297307
50,297307
50,297232
50,297165
50,297093
50,296986
50,296806
50,296714
50,296753
50,296775
50,296783
50,296718
50,296696
50,296705
50,296704
50,296697
50,296621
50,296588
50,296660
50,296730
50,296673
50,296562
50,296554
50,296527
50,296527
50,296573
50,296558
50,296552
50,296530
50,296470
50,296483
50,296455
50,296425
50,296382
50,296347
50,296364
50,296459
50,296477
50,296423
50,296350
50,296353
50,296323
50,296245
50,296214
50,296327
50,296342
50,296294
50,296282
50,296227
50,296222
50,296171
50,296116
50,296108
50,296162
50,296187
50,296164
50,296106
50,296115
50,296135
50,296123
50,296101
50,296075
50,296067
50,296033
50,296021
50,296018
50,296016
50,296053
50,296075
50,296063
50,296063
50,295981
50,295936
50,295870
50,295808
50,295796
50,295892
50,295904
50,295937
50,295993
50,295953
50,295896
50,295917
50,295928
50,295906
50,295968
50,295990
50,295888
50,295886
50,295911
50,295882
50,295859
