peso_g,palavra_digital
0,489855
0,489827
0,489776
0,489794
0,489865
0,489847
0,489838
0,489887
0,489889
0,489865
0,489841
0,489882
0,489916
0,489895
0,489868
0,489844
0,489802
0,489765
0,489833
0,489877
0,489888
0,489915
0,489959
0,489922
0,489885
0,489914
0,489896
0,489936
0,489959
0,489921
0,489898
0,489888
0,489843
0,489878
0,489929
0,489862
0,489867
0,489914
0,489938
0,489918
0,489883
0,489901
0,489921
0,489933
0,489925
0,489929
0,489917
0,489976
0,489962
0,489884
0,489922
0,489968
0,489921
0,489886
0,489903
0,489914
0,489899
0,489852
0,489896
0,489866
0,489880
0,489957
0,489910
0,489911
0,489950
0,489893
0,489892
0,489936
0,489937
0,489932
0,489894
0,489861
0,489884
0,489915
0,489884
0,489889
0,489929
0,489888
0,489867
0,489827
0,489799
0,489901
0,489931
0,489859
0,489829
0,489825
0,489860
0,489893
0,489938
0,489942
0,489898
0,489913
0,489939
0,489909
0,489924
0,489921
0,489902
0,489919
0,489992
0,489961
50,509255
50,509817
50,509747
50,508993
50,508332
50,508457
50,509084
50,509656
50,509538
50,508663
50,507966
50,508140
50,508967
50,509571
50,509359
50,508508
50,507871
50,508160
50,508962
50,509424
50,509063
50,508249
50,507715
50,508074
50,508968
50,509345
50,508961
50,508116
50,507688
50,508181
50,509019
50,509360
50,508901
50,508061
50,507765
50,508318
50,509067
50,509315
50,508786
50,507962
50,507634
50,508179
50,508886
50,509007
50,508492
50,507607
50,507324
50,508064
50,508913
50,509033
50,508392
50,507537
50,507413
50,508049
50,508650
50,508610
50,507961
50,507303
50,507298
50,507971
50,508688
50,508683
50,507960
50,507320
50,507346
50,508111
50,508655
50,508554
50,507814
50,507160
50,507328
50,508137
50,508725
50,508546
50,507823
50,507269
50,507540
50,508337
50,508828
50,508581
50,507798
50,507296
50,507623
50,508365
50,508749
50,508441
50,507680
50,507231
50,507582
50,508299
50,508579
50,508219
50,507491
50,507107
50,507565
50,508281
50,508506
50,508063
50,507300
50,507015
